Notification date,Transaction date,Company,Transaction type,Insider and/or position,,Number of shares,Price,Value,Details
2024-07-28,2024-07-26,Titan Logix Corp (TLA),Purchase,"Tasker, Robert
Director of Issuer
Non-Executive Director",,"5,000 +5.1%",0.65,"CAD 3,250",
2024-07-28,2024-07-26,Titan Logix Corp (TLA),Purchase,"Tasker, Robert
Director of Issuer
Non-Executive Director",,"23,000 +30.9%",0.64,"CAD 14,720",
2024-07-28,2024-07-26,Titan Logix Corp (TLA),Purchase,"Tasker, Robert
Director of Issuer
Non-Executive Director",,"5,000 +7.2%",0.62,"CAD 3,100",
2024-07-28,2024-07-26,Titan Logix Corp (TLA),Purchase,"Tasker, Robert
Director of Issuer
Non-Executive Director",,"7,000 +11.2%",0.61,"CAD 4,270",
2024-07-28,2024-07-26,Titan Logix Corp (TLA),Purchase,"Tasker, Robert
Director of Issuer
Non-Executive Director",,"9,000 +16.8%",0.60,"CAD 5,400",
2024-07-28,2024-07-26,Titan Logix Corp (TLA),Purchase,"Tasker, Robert
Director of Issuer
Non-Executive Director",,"1,000 +1.9%",0.59,CAD 590,
2024-07-28,2024-07-26,Thunder Gold Corp (TGOL),Purchase,"Strashin, Elliot
10% Security Holder of Issuer, Director of Issuer, Senior Officer of Issuer
Executive Director Large shareholder",,"38,000 +0.2%",0.03,"CAD 1,140",
2024-07-28,2024-07-26,Jemtec Inc (JTC),Purchase,"Crossett, Paul
10% Security Holder of Issuer
Large shareholder",,500 +0.2%,0.70,CAD 350,
2024-07-28,2024-07-26,Darelle Online Solutions Inc (DAR),Sale,"Bethune, Dean
Senior Officer of Issuer
Officer",,"250,000 -3.5%",0.02,"CAD 3,750",
2024-07-28,2024-07-26,Commander Resources Ltd (CMD),Purchase,"Macdonald, Brandon
Director of Issuer
Non-Executive Director",,"42,000 +5.3%",0.09,"CAD 3,570",
2024-07-28,2024-07-26,1911 Gold Corporation,Purchase,"Heinrichs, Shaun Perin
Director of Issuer, Senior Officer of Issuer
Executive Director",,"20,000 +0.6%",0.14,"CAD 2,700",
2024-07-27,2024-07-26,Quebec Rare Earth Elements Corp (QREE),Purchase,"Jentz, John Warren
10% Security Holder of Issuer, Director of Issuer
Non-Executive Director Large shareholder",,"30,000 +0.4%",0.11,"CAD 3,210",
2024-07-27,2024-07-26,Palisades Goldcorp Ltd (PALI),Purchase,"Parker, Michael A
10% Security Holder of Issuer
Large shareholder",,"17,700 +0.6%",2.10,"CAD 37,170",
2024-07-27,2024-07-26,Palisades Goldcorp Ltd (PALI),Purchase,"Parker, Michael A
10% Security Holder of Issuer
Large shareholder",,"17,700 +0.7%",2.10,"CAD 37,170",
2024-07-27,2024-07-26,Nuclear Fuels Inc (NF),Sale,"Lahusen, Lawrence
10% Security Holder of Issuer, Deemed Insider - 6 Months before becoming Insider, Director of Issuer, Senior Officer of Issuer
Executive Director Large shareholder",,"5,000 -1.1%",0.40,"CAD 2,000",
2024-07-27,2024-07-26,Harrys Manufacturing Inc (HARY),Purchase,"Pavenham Developments Inc
10% Security Holder of Issuer
Large shareholder",,"32,000 +0.3%",0.03,CAD 800,
2024-07-27,2024-07-26,Harrys Manufacturing Inc (HARY),Purchase,"Pavenham Developments Inc
10% Security Holder of Issuer
Large shareholder",,"743,000 +7.0%",0.03,"CAD 22,290",
2024-07-27,2024-07-26,Great Pacific Gold Corp (GPAC),Purchase,"Slusarchuk, Bryan James Rees
Director of Issuer
Non-Executive Director",,"5,000 +4.3%",0.70,"CAD 3,500",
2024-07-27,2024-07-26,Cannara Biotech Inc (LOVE),Purchase,"Sosiak, Nicholas
Senior Officer of Issuer
Officer",,"3,916 +1.8%",0.60,"CAD 2,350",
2024-07-26,2024-07-26,Thesis Gold Inc (TAU),Purchase,"Mumford, Thomas
Director of Issuer
Non-Executive Director",,"5,000 +1.9%",0.62,"CAD 3,100",
2024-07-26,2024-07-26,STLLR Gold Inc.,Purchase,"Salehi, Keyvan
Director of Issuer, Senior Officer of Issuer
Executive Director",,"5,000 +0.6%",1.19,"CAD 5,950",
2024-07-26,2024-07-26,STLLR Gold Inc.,Purchase,"Candelario, Allan Raymund
Senior Officer of Issuer
Officer",,"8,000 +3.8%",1.19,"CAD 9,505",
2024-07-26,2024-07-26,Rubicon Organics Inc (ROMJ),Purchase,"Pigott, John
Director of Issuer
Non-Executive Director",,"1,000 +0.1%",0.43,CAD 430,
2024-07-26,2024-07-26,Rubicon Organics Inc (ROMJ),Purchase,"Pigott, John
Director of Issuer
Non-Executive Director",,"1,000 +0.1%",0.44,CAD 440,
2024-07-26,2024-07-26,Rubicon Organics Inc (ROMJ),Purchase,"Pigott, John
Director of Issuer
Non-Executive Director",,"1,000 +0.1%",0.44,CAD 440,
2024-07-26,2024-07-26,Rubicon Organics Inc (ROMJ),Purchase,"Pigott, John
Director of Issuer
Non-Executive Director",,500 +0.1%,0.44,CAD 220,
2024-07-26,2024-07-26,Rubicon Organics Inc (ROMJ),Purchase,"Pigott, John
Director of Issuer
Non-Executive Director",,500 +0.1%,0.44,CAD 220,
2024-07-26,2024-07-26,Rubicon Organics Inc (ROMJ),Purchase,"Pigott, John
Director of Issuer
Non-Executive Director",,"1,000 +0.1%",0.44,CAD 440,
2024-07-26,2024-07-26,Rubicon Organics Inc (ROMJ),Purchase,"Pigott, John
Director of Issuer
Non-Executive Director",,500 +0.1%,0.44,CAD 220,
2024-07-26,2024-07-26,Rubicon Organics Inc (ROMJ),Purchase,"Pigott, John
Director of Issuer
Non-Executive Director",,"4,000 +0.4%",0.44,"CAD 1,760",
2024-07-26,2024-07-26,Rubicon Organics Inc (ROMJ),Purchase,"Pigott, John
Director of Issuer
Non-Executive Director",,500 +0.1%,0.44,CAD 220,
2024-07-26,2024-07-26,Quebec Innovative Materials Corp (QIMC),Purchase,"Karagiannidis, John Ioannis
Director of Issuer
Non-Executive Director",,"50,000 +1.6%",0.10,"CAD 4,750",
2024-07-26,2024-07-26,Quebec Innovative Materials Corp (QIMC),Purchase,"Karagiannidis, John Ioannis
Director of Issuer
Non-Executive Director",,"50,000 +1.6%",0.10,"CAD 4,750",
2024-07-26,2024-07-26,"Nickel 28 Capital Corp. (formerly, Conic Metals Corp.)",Purchase,"Collery, Edward A.
Director of Issuer, Director or Senior Officer of 10% Security Holder
Non-Executive Director",,"6,500 +0.0%",0.77,"CAD 5,005",
2024-07-26,2024-07-26,Luca Mining Corp (LUCA),Purchase,"Perez, Ramon
Senior Officer of Issuer
Officer",,"3,000 +16.4%",0.57,"CAD 1,710",
2024-07-26,2024-07-26,Luca Mining Corp (LUCA),Purchase,"Barnholden, Daniel
Senior Officer of Issuer
Officer",,"35,000 +10.8%",0.56,"CAD 19,600",
